file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [26-May-2025 01:58:43 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/experience-builder/includes/class-monoloop-admin-api.php on line 327
[26-May-2025 01:59:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/class/class-extrp-sanitize.php on line 380
[26-May-2025 01:59:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/class/class-extrp-sanitize.php on line 380
[26-May-2025 01:59:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/class/class-extrp-sanitize.php on line 380
[26-May-2025 01:59:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/class/class-extrp-sanitize.php on line 380
[26-May-2025 01:59:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/class/class-extrp-sanitize.php on line 380
[26-May-2025 01:59:57 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $date in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/load/functions.php on line 307
[26-May-2025 01:59:57 UTC] PHP Deprecated:  Required parameter $snippet follows optional parameter $date in /wordpress/wp-content/plugins/extended-related-posts/lib/inc/load/functions.php on line 307
[26-May-2025 02:00:35 UTC] PHP Notice:  Function register_uninstall_hook was called <strong>incorrectly</strong>. Only a static class method or function can be used in an uninstall hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:00:43 UTC] PHP Notice:  Function register_uninstall_hook was called <strong>incorrectly</strong>. Only a static class method or function can be used in an uninstall hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:00:52 UTC] PHP Notice:  Function register_uninstall_hook was called <strong>incorrectly</strong>. Only a static class method or function can be used in an uninstall hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:01:31 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php:124
Stack trace:
#0 /wordpress/wp-content/plugins/easy-events/easy-events.php(39): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('easy-events/eas...')
#3 /internal/eval.php(20): activate_plugin('easy-events/eas...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php on line 124
[26-May-2025 02:01:39 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php:124
Stack trace:
#0 /wordpress/wp-content/plugins/easy-events/easy-events.php(39): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('easy-events/eas...')
#3 /internal/eval.php(20): activate_plugin('easy-events/eas...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php on line 124
[26-May-2025 02:01:47 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php:124
Stack trace:
#0 /wordpress/wp-content/plugins/easy-events/easy-events.php(39): require_once()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('easy-events/eas...')
#3 /internal/eval.php(20): activate_plugin('easy-events/eas...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/easy-events/easy-events-widget.php on line 124
[26-May-2025 02:02:55 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elementinvader-addons-for-elementor</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:03:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elementinvader-addons-for-elementor</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:03:15 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elementinvader-addons-for-elementor</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:03:24 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elfsight-facebook-comments</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:03:33 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elfsight-facebook-comments</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:03:43 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>elfsight-facebook-comments</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 02:04:20 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:20 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:04:22 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:22 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:04:30 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:30 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:04:33 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:33 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:04:41 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:41 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:04:44 UTC] PHP Warning:  The magic method EA_Core_Base::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/base.php on line 20
[26-May-2025 02:04:44 UTC] PHP Warning:  The magic method EA_Core_Settings::__wakeup() must have public visibility in /wordpress/wp-content/plugins/event-alley/core/settings.php on line 16
[26-May-2025 02:07:11 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:12 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:20 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:21 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:29 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:30 UTC] Ebyline plugin, rev: 1.1, endpoint: www.ebyline.com
[26-May-2025 02:07:40 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:40 UTC] PHP Deprecated:  Required parameter $index follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:40 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function edd_get_label_singular() in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php:23
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): EDD_Download_Actions_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('edd_download_ac...')
#2 /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php(166): register_widget('edd_download_ac...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): edd_download_actions_widgets_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php on line 23
[26-May-2025 02:07:49 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:49 UTC] PHP Deprecated:  Required parameter $index follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:49 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function edd_get_label_singular() in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php:23
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): EDD_Download_Actions_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('edd_download_ac...')
#2 /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php(166): register_widget('edd_download_ac...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): edd_download_actions_widgets_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php on line 23
[26-May-2025 02:07:59 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:59 UTC] PHP Deprecated:  Required parameter $index follows optional parameter $args in /wordpress/wp-content/plugins/edd-download-actions/includes/admin.php on line 68
[26-May-2025 02:07:59 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function edd_get_label_singular() in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php:23
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): EDD_Download_Actions_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('edd_download_ac...')
#2 /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php(166): register_widget('edd_download_ac...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): edd_download_actions_widgets_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-content/plugins/edd-download-actions/includes/widgets.php on line 23
[26-May-2025 02:09:25 UTC] PHP Fatal error:  missing dependencies in /wordpress/wp-content/plugins/email-before-download/includes/class-email-before-download-activator.php on line 28
[26-May-2025 02:09:33 UTC] PHP Fatal error:  missing dependencies in /wordpress/wp-content/plugins/email-before-download/includes/class-email-before-download-activator.php on line 28
[26-May-2025 02:09:42 UTC] PHP Fatal error:  missing dependencies in /wordpress/wp-content/plugins/email-before-download/includes/class-email-before-download-activator.php on line 28

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"email-before-download"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(108) [
           77, 105, 115, 115, 105, 110, 103,  32, 116, 104, 101,  32,
          102, 111, 108, 108, 111, 119, 105, 110, 103,  32, 112, 108,
          117, 103, 105, 110,  40, 115,  41,  58,  60,  98, 114,  62,
           60, 115, 116, 114, 111, 110, 103,  62,  68, 111, 119, 110,
          108, 111,  97, 100,  32,  77, 111, 110, 105, 116, 111, 114,
           60,  47, 115, 116, 114, 111, 110, 103,  62,  60,  98, 114,
           62,  60, 115, 116, 114, 111, 110, 103,  62,  67, 111, 110,
          116,  97,  99, 116,  32,  70, 111, 114, 109,  32,  55,  60,
           47, 115, 116, 114,
          ... 8 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
